glove	respect
safe	loss or lack
nail	long and hard work for little compensation and pay
dentist	your concerns about your appearance
hoarding	selfishness
movie_theater	you are attempting to protect yourself from your emotions and/or actions
eyebrow	expressions of amazement, disbelief, surprise, or doubt
ninja	passive aggressive behavior
hit	your lifestyle, beliefs or goals may be in conflict with another's
pointing	you need to pay more attention to that particular person or object
pinball	with patience, control, and precision, you will succeed in your goals
somersault	you like to do things in excess
chopstick	you are trying to manipulate some situation
temple	inspiration, spiritual thinking, meditation and growth
cilantro	immortality
window	you will have many good opportunities ahead for you
inauguration	personal growth or a rise in your current status
shirt	your emotions or some emotional situation
feet	others can easily take advantage of you
bound	your need to be free from some relationship or situation
bus_driver	leadership in some group idea or plan
ice_maker	you are shutting others out and closing off your emotions
padlock	your inability 
hunting	you are seeking or pursuing some inner desire, either emotional or physical
short	you are ready to be more open and reveal a little more about your inner persona
stray	you are feeling unwanted, lost, or out of touch with society
slide	you are experiencing some instability in your waking life
meat	you are getting to the heart of the matter
mixing	a blending of opposite ends of your personality
daughter	your waking relationship with your daughter and the qualities that she projects
pharaoh	you are acknowledging the authoritarian within yourself
dripping	you are slowly losing your spiritual will
web	your desire to control everything around you
lime	temporary setbacks and delays
telephone_booth	a message or advice that comes with a price
ice_cream	sorrow, disillusionment, or betrayal
moon	your ambition
bass	a solid foundation and groundwork for what is ahead
credit	acceptance of your responsibilities and duty
ground	your foundation and support system
confetti	achievement and success
whale	your intuition and awareness
safety_pin	a situation is on the verge of falling apart causing anxiety or fear
rifle	you are directing your anger and aggression toward a specific person or issue
cemetery	you are coming clean about your past
excavator	you are ready to delve into your subconscious and confront the issues that is holding you back
mausoleum	calmness
question	self doubt
emu	you are emotionally resilient
stop_sign	you need to stop what you are doing and rethink about the situation before moving forward
pirate_ship	your suppressed desires for freedom and adventure
cleopatra	you are acknowledging your own beauty and sexual appeal
whistle	a warning
national_anthem	pride and love of country
escape	your good health and prosperity
eye	you are not seeing straight with regards to some situation
socket	you need to reenergize and revitalize yourself
revolver	lingering danger
corridor	a transitional phase of self exploration
seminar	you are expanding your knowledge and understanding
polygraph	your lack of confidence
refrigerator	your chilling personality and/or cold emotions
hot_spring	relaxation
bioluminescence	you are seeking attention
ruby	passion, vitality and sexual desire
toilet_seat	you are guarded when it comes to expressing your emotions
plaid	some of your conservative views are in conflict with your liberal and wild side
harem	your repressed sexual energy and inhibitions
wildebeest	a lack of control in your life
pulse	you are trying to connect with an aspect of that person
tank	prosperity and satisfaction with the current state of your life
charleston	important and substantial success ahead for you
sweater	warmth and love
sound_wave	you are in tune with your own feelings or the feelings of others
fireman_pole	dependability and security
pasta	your need for energy
brownie	self indulgence
corkscrew	some aspect of your life is spinning out of control, especially if you are having difficulties using the corkscrew
tapestry	a lack resources needed to satisfy your needs and desires
bestiality	your animalistic and carnal desires
abalone	a transitional period in your life
petroleum	an aspect of your life that is potentially volatile and explosive
snowflake	purity and perfection
theme_park	something in your life is not going as expected
restaurant	you are feeling overwhelmed by decisions and choices you need that to make in your life
bigfoot	the unknown and the subconscious
jasmine	love, beauty, protection and happiness
moonstone	wealth, prosperity and luck
home_improvement	improvements you need that to make on yourself
orchestra	control, empowerment
tap_dancing	the rhythm of life
seam	there are two components in your life you need that to bring together and unify as a whole
goatee	mistrust and dishonesty
library	the knowledge you have accumulated over the years
oasis	inner fears, insecurities, and overwhelming circumstances
blueberry	your youth and the desire to recapture aspects of your youth
babysitter	you need to acknowledge and work on your inner child
fish	insights from your subconscious mind
eulogy	there is some repressed thoughts you need that to verbalize
arc	you are experiencing some setbacks in your plans or goals
alligator	you are unwilling to confront some painful and disturbing aspect of your subconscious
dislike	an aspect of yourself that you do not like or are trying to suppress
red_carpet	you are welcoming fun and festivities in your life
eraser	you need to clear up some mistakes that you have made
dill	spiritual and emotional protection
banana	your hard work will be met with little rewards or gains
cupboard	you are revealing some hidden truth or secret
insomnia	you are feeling overwhelmed
fishnet_stocking	sexiness, lust, and allure
home	security, basic needs, and values
burglar	your energy is being sucked away from you
warrant	you will be involved in some important matter or decision
axle	you need to concentrate on the more important things in life
doberman_pincher	your fears
volleyball	your indecisiveness and your inability to commit
milk	you are being overprotected
raw	some unexplored or untried experiences
minuet	pleasant surroundings and joyous friendships
novel	you need to look at things from a different point of view or angle
upstairs	your higher level of understanding
badge	recognition of your position
ribbon	innocence, playfulness, festivities, frivolity and girliness
cutting	a broken relationship or severed connection
expert	your self confidence and high self esteem
quadrille	your lack of commitment in a relationship
savanna	you need to learn to adjust to the various situations and circumstances in your life
minefield	the many difficulties that you are facing in your waking life
beehive	there are many opportunities for you to get ahead in life
antibiotic	there is some negativity you are trying that to protect yourself against
cat	you are lacking autonomy and independence in some area of your life
pile	the rejected or unwanted aspects of yourself
flint	endurance, durability, livelihood and longevity
market	depression and gloominess
nerd	feelings of inferiority and/or ineffectiveness
eavesdropping	the coming of bad news
magpie	dissatisfaction and disagreements
rhinestone	short-lived pleasures
broccoli	you are in need of spiritual nourishment
spectacle	you need a clearer view on a situation
clubbing	your sense of belonging
microwave	your quick thinking and quick-action
liver	the possibility of a physical disorder
wind	your life force, energy, and vigor
chair	you need to be open to taking and accepting advice
fork	an extension of your reach
chihuahua	someone around you who is unexpectedly vocal
mount_fuji	an aspect of your life that may be deceivingly calm
neck_brace	you are trying to reconnect your heart and mind
flesh	you are under tremendous stress and feel drained
bay_window	you are trying to gain a different or wider perspective on things
voyage	, self-discovery or progress
crossing	you are putting yourself in harm's way
arctic	your emotional state
file_cabinet	your openness toward other viewpoints, opinions, suggestions, and criticism
milk	you are surrounded by strong relationships and solid friendships
drugstore	a time for healing
armpit	your social connections and your relationships to others
bragging	you are feeling insecure about yourself
fingernail	he is very in touch with his sensitivity and emotions
drawing	an expression of your latent artistic abilities
lactating	your strong maternal bond and instincts
feather	warmth
sore	you are keeping in some negative emotions and attitudes that need to be released and expressed
sniper	hidden aggression you need that to acknowledge
bridesmaid	a looming romance
hat	you are hiding an aspect of yourself or that you are covering up something
antarctica	your tenacity and drive
blind	you are in denial about a situation or problem
walking	your carefree and upbeat attitude
arm	your inability to care for yourself or your helplessness in reaching out to others
flipper	you are moving quickly and effectively through some old emotional issues
thistle	your need to feel protected
goal_post	your personal goals or an opportunity that is within your grasp
abbey	feelings of hopelessness
bean	your frugal and thrifty ways
weed	you are feeling neglected, overshadowed or cast to the side
faithless	feelings of self-guilt and self-betrayal
shower_curtain	negative emotions that you are repressing
table	your need for nourishment and relaxation
metamorphosis	sudden and rapid changes in your personal life
funeral	an ending to a situation or aspect of yourself
ballroom	some festivity or celebration
vagrant	your generosity
fleece	a sense of security
deformed	undeveloped aspects of yourself 
money	a fear of losing your place in the world
rocking_horse	you are feeling stuck in some area of your life
appointment	you need to be more goal-oriented
sister-in-law	characteristics in her that you find within your own self
passion_fruit	life or vitality
stair	your repressed thoughts
cat	you are experiencing some fear in using your psychic abilities and believing in your intuition
paparazzo	your privacy is being violated
pointing	feelings of self guilt or even shame
passion_fruit	your spiritual connection
mutant	your fears of things that are different
oath	you are trying to hide something
lanai	you are open-mined and easy-going
rumor	your personal insecurities
trombone	success in love
growing	you have reached a new level of maturity or spiritual enlightenment
apron	you are in a submissive position
archaeology	your discovery and acknowledgement of your subconscious
lumberjack	strength and fortitude
beauty_contest	your own insecurities about your appearances
post-apocalypse	you will overcome the difficulties you are experiencing in your current life
cooler	someone who is frigid or who has cold personality
bookkeeper	a need to keep you life in balance and in harmony
drag_queen	over the top attitude
cricket	introspection
email	you need to reach out to people who may not necessarily always physically be around
quarter	incompleteness
prediction	you are in tune with your intuition
business	issues and problems you are dealing that with in your waking life
leaf	your dream is trying to tell you to "leave" some situation or relationship
nightmare	you are being overly indulgent and living a life of excess
luau	your emotional needs and sexual desires
curtsy	you are acknowledging something that is greater than you and deserves your respect
friday	an end to some difficult task
water_balloon	some negative emotions or anger that is directed at you
cage	you are feeling limited in your expression and a sudden lost of freedom
flirting	you are feeling an emotional or physical distance from her or him
model	you will achieve great success
fire_extinguisher	you are trying to get your emotions under control
making_out	you have an subconscious desire to pursue a relationship, but fear that it will jeopardize the friendship
waiting_room	your patience
dvd	you need to stop and relax
blood	you have a fresh burst of vitality and power
earthquake	you are experiencing a major "shake-up" that is threatening your stability and foundation
barcode	automation, simplification and ease
tap	sexual issues and problems
cabin	are seeking some refuge from your emotions
hide_'n_seek	you are keeping some information or secret that you cannot keep inside any longer
retainer	are holding your emotions back and not expressing yourself
admiral	your ability to tackle life's issues and problems with confidence and decisiveness
wand	your power and influence over others
poultry	togetherness
dna	you need to focus your energy
chanting	your camaraderie and oneness with others toward a common cause
demon	helplessness
ticket	the price you need to pay to attain your goals
jewelry	status and your own sense of self worth and personal value
weevil	losses and deception
musical	you need to be careful not to get carried away by your emotions
voiceless	a loss of identity and a lack of personal power
salad_dressing	you need to add some pizzazz to your life
rube_goldberg	you are needless complicating a simple issue
religion	your faithfulness and sense of spirituality
elephant	you are in control of your subconscious and aspects that you were once afraid of
heartbeat	you are not confronting or recognizing your feelings
adder	a sly or cunning person
pilgrim	an aspect of yourself that is striving toward greater understanding of who you are and of the world you live in
pet_store	the responsibilities that you are undertaking
big	authority and power
picnic	unity and togetherness
fig	a positive turn of events
cell_phone_tower	there is a lack of communication within your family which can no longer be ignored
air_show	you are showing off your accomplishments to others
shawl	comfort
money	you are lacking ambition, power and self-esteem
athlete	a larger than life attitude
indian	the primitive and instinctual aspect of yourself
skyscraper	your high ideals, creativity, accomplishments and imagination
address	you need to take a look back at the past and learn from it
african_american	your roots and heritage
orchid	gentleness, romance, beauty, lust and sensuality
graveyard	the discarded aspects of yourself
stealing	you are experiencing an identity crisis or are suffering from some sort of loss in your life
rule	you feelings of frustrations
radiator	you need to cool off
transsexual	the feminine and masculine aspects of your Self have been damaged
washing_machine	you need to resolve issues of the past in order to be able to make a clean, new start for yourself
doorknob	either access or restriction
bungee_jumping	your ability to bounce back from adversities and setbacks in your life
pant	your sensual side
bleachers	you are reflecting on the progress of your goals
root	you are ready to move on from the past
insulation	protection and warmth
copyright	you are guilty of copyright infringement
boiling	transformation and/or sacrifice
pride	your support is needed in some cause
nightclub	the social aspects of your life and your sense of belonging
tape_recorder	there is a message you need that to absorb and incorporate in your daily life
almond	success and richness
miscommunication	waking difficulties in expressing yourself and in getting your point across
pansy	undying 
lip_balm	there is some misunderstanding in you are trying what to say
sailing	how your life is going and how you are able to handle life's problems
jitterbug	your positive, upbeat and enthusiastic attitude
junk_mail	you need to stop dwelling on minor details
summit	your ambitions and goals
fang	you have said some words that have been hurtful to others
cell_phone	you are ready to talk about something that you have been keeping inside
intercourse	your reservations 
blog	your popularity
high_heel	femininity and glamour
headband	you are holding back some information
cruel	you need to develop your inner and outer strengths and become more emotionally strong
ballroom_dancing	success in your endeavors
wig	deception, incompetence, false impressions, pretentiousness and falsehood
architect	your need for visual stimulation
counter	you are looking for advice and for some direction in your life
cobra	creation and creative energies
june	gains and progress in your endeavors
sibling	a quality or characteristic of that sibling that you need to incorporate and acknowledge within yourself
trout	your cheerful attitude towards life
cookie_monster	you need to eat more healthier and have a more balanced diet
voguing	your attitude and confidence
award	you feel you deserve some recognition or some acknowledgment of your work
cola	you need to be more bubbly or vivacious
burqa	something is being kept away from you
pornography	your issues with intimacy, power, control, and effectiveness
sprinkler	enlightenment, rejuvenation and cleansing
dishwasher	you need to resolve past issues and old problems in order to make a clean start for yourself
trash_compactor	you are in denial about some issue or problem
circuit_board	the steps and processes that need to be completed in order to produce a desired outcome
soft	a warm and welcoming situation
sugar_cane	vitality, health and prestige
afternoon	it is time to put your energies to good use
rodeo	you need to take control of your animalistic forces and primal urges
lightning	irreversible changes occurring in your life
building	you are descending into the realm of subconscious
matador	you need to challenge yourself and prepare for the obstacles ahead
garret	a general betterment of your life and an improvement in your financial situation
flounder	indecision 
tutu	your femininity or issues 
lobotomy	you are either trying to get to your subconscious and access its insights or you are trying to suppress it and erase it from your consciousness
mill	you are able to learning from your past experiences and applying them to your current problems and situations
fork_in_the_road	a life-changing decision
nun	purity, chastity and obedience
academy_award	you need to add some glamour into your life
sunbird	you are being underestimated because of your size or appearance
fitting_room	you are trying to fit into some new situation or role
heron	self-reliance, stability, tactfulness and careful forethought
adulation	you are willing to part with something near and dear to you in the hopes of material advancement
surgical_mask	a fear of change
sour	some resentment in your emotional state of mind
pentagon	strength, power and stability
succulents	your thirst for knowledge or information
rouge	some form of deception
intercourse	the integration and merging of contrasting aspects of yourself
hole	hidden aspects of your activities
piercing	you need to pay closer attention to some issue
tequila	your relaxed state of mind
skipping	you need to be more light-hearted
toddy	a recent turn of events will soon change your way of life
entrance	you have missed a huge and/or profitable opportunity, especially if you are standing outside the castle door
pet_store	you are underestimating your self worth
foot	a lack of progress, freedom, and independence
riverbed	you are devoid of emotions
hair	freedom 
candle	some intimate or romantic relationship
cantaloupe	you put forth a tough image, but are sensitive on the inside
snowmobile	you are taking advantage of the opportunities made available to you while they last
algae	you need to leave your emotions out of some matter
anthill	you are trying to avoid doing any hard work
tea_bag	you need for more calmness in your life
spaceship	your creative mind
horse	something in your life that initially offered you strength is now gone
humming	you need to have some balance in your life
eye	enlightenment, knowledge, comprehension, understanding, and intellectual awareness
bubble_wrap	your satisfaction with the way your life is going
ufo	your desires 
ask	your anxieties about really asking this person out
marshmallow	timidity and lack of self-confidence
lip_gloss	a lack of power in your words
needle	you need to incorporate and join together various aspects of your consciousness
road_trip	your life journey and the decisions you make in life
possessed	a state of helplessness
mane	some animalistic desire
polka_dot	routine and monotony
tractor	your resourcefulness and ingenuity
cyclops	you may be narrow-minded and need to expand the scope of your vision
cash	you are lacking ambition, power and self-esteem
catwalk	your new found confidence
anorexia	your lack of self-acceptance and self-esteem
key	opportunities, access, control, secrets, freedom, knowledge or responsibilities
lemur	there is something in your life that you are not seeing clearly
shroud	death or the end of something
resign	major changes in your life
rolling_pin	you are being too hasty about a decision
sprinkling	the birth of something new
accident	your emotional state
table_tenni	you are going back and forth between two choices
magnifying_glass	something in your life needs to be examined and looked at more closely
king	your masculine power
ear	you are not listening to those around you
illumination	thoughts from the primal aspects and less developed parts of your subconscious
charcoal	your burning passion and libido
chevron	protection
gondola	romance, fantasy, and idealistic love
bobcat	you need to pay close attention to what you see and hear in your daily life
milk	maternal instincts and motherly love
rubber_duck	your playful attitude or your child-like emotions
trailer	you are feeling overburdened
outer_space	your boundless creativity
pokemon	a desire to expand your social circle
rain	spiritual ideas coming to fruition in your mind
feud	aspects of your personality are in conflict
man	the aspect of yourself that is assertive, rational, aggressive, and/or competitive
aisle	your ability to move forward in life with confidence
abraham_lincoln	your solid character and leadership ability
floor	your level of understanding, awareness or success
life_jacket	you want to approach your emotions and problems head on, even though it may be painful or uncomfortable
ransom	you have been deceived
chisel	you need to forcibly break through the surface or barrier in order to get to the core of the situation or problem
handsome	your confidence and self-esteem level
murder	deep-seated anger towards somebody
recliner	you need to take a step back to evaluate a situation
barbecue	a minor issue or transformation occurring in your waking life
accident	pent-up guilt in which you are subconsciously punishing yourself over
psychologist	the intellectual and mental aspect of yourself
lasso	there is some situation, object or relationship that you are trying to hold on to
shadow_boxing	an internal conflict
low	something that is beneath you
shovel	you are frustrated with work
typing	your communication skills
inheritance	the opportunities that are available to you in your waking life
probation	you need to stop putting things off and start confronting the problem at hand
apollo	growth
beanbag_chair	temporary setbacks
cradle	a dependent relationship
skeleton	your relationship with them is long dead
speech	you need to vocalize your feelings and thoughts
aggression	repressed sexual needs
volume	you are not paying enough attention to someone is trying what to tell you
victim	you are being oppressed and overpowered by others
machine_gun	your anger or aggression is out of control
freight	you are carrying a heavy load
execution	there is something or someone you need to cut out from your life
adultery	your sexual urges and desires that are longing to be expressed
pawnshop	you are depleting your resources, either physically, spiritually or emotionally
flattery	you need to be steadfast and not let others question your authority and position on things
client	your position of power
juicer	you are in need of more energy
smudging	you need to rid yourself of some negative energy in your life
botox	you are trying to hide emotions or worries about a situation
future	your hopes or your fears of how things will turn out
griffon	the positive aspects of change
stripper_pole	you need to be more comfortable with your body
glass	you need to look at some problem or something from a new perspective
grave	you need to delve into your own subconscious in search of an issue you thought that had been put to rest
actor/actress	your pursuit for pleasure
strike	you are feeling under-appreciated
amorous	animalistic desires
collar	confinement and restraint
essay	you need to think things through before acting on them
double_date	the persona you show to the world and your true Self
demon	you may be experiencing or inflicting fear, emotional distress or physical abuse in your waking life
distance	you are feeling emotionally distant from that person or what that something means to you
golf_cart	you are too lackadaisical in the pursuit of your goals
soybean	you are expressing some health concern
miracle	you are goal-oriented and plan for the future
kookaburra	you are not taking things seriously enough
bomb_shelter	you are being overly protective with some emotion or aspect of your waking life
talk_show	there is a topic or issue you want that to discuss, but do not know how to bring it up
tipsy	you need to be careful with who you associate yourself with
hawaii	relaxation and leisure
porch	your personality, your social self, your facade and how you portray yourself to others
grater	you need to process things in smaller sizes so that you do not get overwhelmed
bomb	you are experiencing some inner anger and/or pressures which are on the verge of exploding into violence
mars	energy, drive, passion, fearlessness and ambition
chakra	there is a blockage to the flow of your spiritual energy
string	something you have forgotten to do
satellite_dish	global awareness and your understanding about worldly issues
sitar	passion, joy and healing
acid	feelings of hatred, rage, and/or revenge
famine	your ability to offer love to others
chat_room	your need to connect with others on a mental level
dowry	hard work 
garbage_can	unwanted ideas, thoughts or memories
press	your lack of privacy
moses	personal gains and self gratification
gymnasium	you need to apply what you learned and incorporate it into your daily life
quack_doctor	you need to be more cautious of people who claim to be what they are not
urban	your social environment and sense of community
quail	lust, love and eroticism
stranded	your feelings of isolation and loneliness
dildo	you are feeling unsatisfied in some area of your life, which may or may not relate to sex
sad	sad 
snob	your tendency to prejudge and look down on others
room	you need to use your mind
looking_glass	you are pondering thoughts about your inner self
jig	joviality and light hearted fun
disapproval	you are rejecting or ignoring some aspect of yourself
mardi_gras	your need to release your inhibitions 
janitor	you need to work on cleaning up an aspect of your life
awaken	a spiritual rebirth
combination_lock	you are shutting yourself down and not letting others in
burning	you are experiencing some intense emotions and/or passionate sexual feelings
starfish	a period of healing and regeneration
lamb	the sacrifices in your life
burr	a minor irritation or annoyance that you are choosing to overlook
urination	a cleansing and a release of negative or repressed emotions
viking	you are feeling violated or conflicted in some way
bloated	some pent up emotion
handicap	your own weakness and neediness
mechanical_bull	analogous to your sex life
political_party	you need to stand up and defend your beliefs
diary	there is a secret you are keeping
volume	there is something you are refusing that to hear
manna	you need some spiritual nourishment
blood	life, love, and passion as well as disappointments
father	you are feeling disconnected with one of your parents
slug	you are progressing through life in a slow, steady, and persistent manner
electric_chair	a sudden end to something in your life
ghetto	you are emotionally impoverished
self-harm	you are seeking attention
wage	you are indebted to someone
spider	you are not able to fully acknowledge your potential
reception	togetherness and social gatherings
piercing	your deep connection with your mother
arrow	disappointments and severed relationships
darth_vader	you are struggling between good and evil
darkness	feelings of desperation, depression, or insecurity
log	new opportunities
porcupine	you need to look out for yourself and protect yourself from emotional or psychological harm
potpourri	the sweet smell of success
girlfriend	your waking relationship with her 
hand_grenade	pent up anger that is ready to explode at any moment
thief	you are afraid of losing what you have
wake	your grieving process
couple	your parents, or a relationship
cheese	gains and profits
traffic	you have power and control over the path or destinations of others
room	you are developing new strengths and taking on new roles
damson	riches
roast	comfort and warmth in the home
flashlight	you are questioning certain issues about yourself
restricted	you are not ready to face up to some issue or problem
leopard	you will eventually overcome your difficulties through persistence
stress	the actual stress that you are experiencing in your waking life
apple	developing love or love that has yet to blossom
debutante_ball	a celebration of life
ark	rebirth preservation and protection of something valuable
sex	your reservations 
laundry_chute	you are not allowing others dictate how your should look or act
honey	a love one
necklace	unsatisfied desires
lullaby	your search for tranquility and peace
amusement_park	you need to set some time for more relaxation and enjoyment in your life
sample	your need to experience and explore what is available out there for you
cheerleader	competition and triumph
ladder	you will be successful after much struggle and obstacles
crepe	life is not always as smooth as you want it to be
game	the game of life
hair_dryer	you need to clear your thoughts and get a fresh perspective on things
bachelor	you are seeking freedom in your love life
awakening	new ideas will be realized
guitar	disappointments in love
smoke	some sort of trouble that is entering your life
scarab	your ability to survive, adapt, and change
trampoline	your resilience and your ability to bounce back from difficult and emotional situations
furniture	former relationships, and/or old ways of thinking
beet	success and abundance
missionary	it is time for you to define and set your own goals
anus	negative emotions you may be holding that in and repressing
marker	your creativity
teasing	you are having a problem accepting an aspect of your own character as represented by the person being teased
exercise	your worries about your health
author	your mind is preoccupied with some story, essay, or report that you are working on
lyre	joy, calmness and harmony
toque	your confidence in your abilities
tire	you are dwelling too much in the past and need to move on toward the future
velvet	your sensual side
petal	a broken relationship or a rift in a friendship
abacus	your outdated views
popsicle	you need to cool off and not let your temper get out of hand
crowd	you have a strong social support system
fish	you are incorporating your new realizations with your spiritual feelings and knowledge
ex-boyfriend	you need to let go of some of that defensiveness you have been putting forth that as a result of a past relationship
label	your need for organization and order
valet	you are lacking your own direction in life
love_spell	under a love spell parallels waking feelings of love
mustache	you are revealing your true self
ex	something or someone in your current life is bringing out similar feelings you felt during that relationship with your ex
armor	your defense mechanisms
joke	you are not being taken seriously and 
walker	you are not letting any hardships or obstacles stand in your way
massacre	you are a follower
cooky	your guilty indulgences
steam_engine	you are channeling your anger into positive and productive energy
throne	your unwillingness to accept some responsibilities
pumpkin	your openness and your receptiveness 
archaeologist	you need to learn from past experiences or that you need to look to the past to find answers to present issues
waterslide	you are being carried away by your emotions
stroke	your inability to function in a certain situation of your waking life
hookie	you are trying to "ditch" or avoid some responsibility
romance	you need to be more affectionate in your waking life
debate	some inner turmoil or conflict that you are experiencing
water_gun	passive aggressiveness
new_year	prosperity, hope, new beginnings and an opportunity to make a fresh start
cabaret	your need to acknowledge your sensual side
best_man	your self-confidence
ointment	you are undergoing a period of healing
earring	your desire for acceptance and affection
summit	your worldly views and political opinions
advice	you have the knowledge and information to help others
plowing	you are making a fresh new start
geode	the beauty 
coma	your helplessness and inability to function in some given situation
foal	new undertakings and emergence of fresh energy
lawn_mower	you need to channel your negative thinking into positive energy
hill	your struggles 
neat	you need to get organized
ax	you are overly controlling
rent	you have put your own priorities aside for the sake of others
rape	sexual dysfunction or uncertainty
samurai	loyalty, honor, duty and discipline
citation	you need to reevaluate how you are going about your life as it might get you into trouble
sea	your subconscious and the transition between your subconscious and conscious
disguise	you are hiding from something or someone in your waking life
chemist	your ability to change and alter your Self
precipice	your ambition and drive
waif	the unrealistic goals you have for yourself
spell	you are undergoing an inner transformation
santa_claus	you need to be more giving, accepting, and/or forgiving
weasel	your lack of trust in others
frame	a wish to have a current situation or relationship 
december	togetherness, friendships, and happy reunions
vaseline	there is some issue that requires a soothing touch
adieu	you are going on a journey of self-discovery
fossil	longevity and wisdom
caul	you are not seeing something clearly
gull	a clear perspective
bathroom	you are overstepping your boundaries
decoy	your tendency to mislead people
schoolmate	you need to draw on your old associations with your former classmates to gain insight in some current relationship
fountain	you are coming down from the "high" of a passionate relationship
wooden_shoe	solitude and unfaithfulness
rome	love, death, destiny or fate
fife	you will be unexpected call on to defend your honor
paste	a fear of being trapped in some situation and not being able to get out of it
yew_tree	mourning and death
notebook	things you need that to keep track of and stay on top of
castle	reward, honor, recognition, and praise for your achievements
propeller	movement and progress
owl	wisdom
grape	wealth and prosperity
blog	you are trying to change or rewrite the past to suit your own needs
turkey	you are being foolish
acorn	strength and durability
helicopter	your ambitions and achievements
file_cart	your inescapable responsibilities
independent	endless possibilities
obelisk	your cold and harden nature
opium	there is an issue or situation that you are avoiding
blimp	your goals, ambitions and aspirations
toothpaste	you need to clean your mouth
stroller	your desire for a family 
propane_tank	you are under some sort of pressure or stress
shirt	financial worry, monetary lost or risky endeavor
fakir	phenomenal change in your life
cleaning	an aspect of yourself that is not working or functioning as well as it should
guru_nanak	integrity and honesty
harp	spiritual harmony
door	you are closing yourself off from others
chalkboard	the classroom and the difficulties you may have experienced in school
pickaxe	a level of sexual aggression or sexual tension
garbage	you are kicking your old negative habits and throwing away your bad characteristics and unwanted traits
fraud	you are too trusting of others
patty-cake	your carefree nature
mattress	your present stage of life
resolution	your commitment and dedication to the changes that you are making in your life
sap	physical health, vigor, and energy
crossing_gate	temporary setbacks toward achieving your goals
chimpanzee	what you thought was true is actually not
thermostat	control over your emotions
pilgrim	you are undergoing a spiritual journey
missile	feelings of helplessness and forces beyond your control
childhood	your wish to return to a life where you had little responsibility and worries
whispering	you need to pay closer attention to something or listen to someone more carefully
khaki	there is something that you are not seeing clearly on
bedroom	a current situation or feeling has triggered a memory from your childhood that you have kept secret
movement	self-acceptance or your quick wit
sonogram	a new and developing phase in your life
slate	possibilities, potential, information and knowledge
kite	even though you have high ambitions and goals, you still remain well-grounded
handbag	some fortune or good luck will come your way
ankle_monitor	you are feeling scrutinized about every step or decision your make
concert	your untapped talents and hidden potential
tack	annoyances in your life
princess	the object of your affections or desires
bead	your tendency to please others and put their needs in front of your own
pudding	you are feeling slow and lethargic in your waking life
laundromat	a transformation or cleansing
rocking_chair	sadness or quiet contemplation
gum	you feel others are working against you
flag	peace and/or prosperity
paper_plane	your frivolous pursuits
shark	feelings of anger, hostility, and fierceness
garage	security and stability brought about by your accomplishments and efforts
square	strength, solidity and stability
claddagh	love loyalty and friendship
silo	you need to save money
london	nobility
orgasm	an exciting end to something
basting	you are trying to incorporate a little more flavor and pizzazz in your life
police_tape	protection from your subconscious
patron	others who share your viewpoints and ideas
tenni	changes or challenges in your life
saddle	you will rise to a position of prominence and power
balloon	your aspirations, goals and ambitions
jar	the feminine womb
porpoise	a pun on your "purpose" for something
folder	you need to sort out your feelings and re-organize some issues in your waking life, especially if you've experienced some trauma or turmoil recently
school	feelings of inadequacy and childhood insecurities that have never been resolved
incense	spiritual learning
totem_pole	your need to feel protected
water_skiing	an uplift in your spirituality and increase in your self-confidence
posse	a unified whole
land_mine	you are under some extreme pressure or stress
awaken	you are acknowledging core aspects of that person within your own self
mean	some negative feelings that you are not expressing in your waking life
bondage	that aspects of your emotions and/or character 
quill	your flirty tendencies
anubis	you are in search of clarity
cockroach	uncleanness
magic	you have obtained your wishes and wants through underhanded tricks
millipede	you are letting fears prevent you from achieving your goals
concrete	some issue or some aspect of your life still remains unresolved
tea	you need to look pass the superficial and get to the core of the situation
frame	limitations and boundaries
mercury	alertness, awareness, open communication, reason, and versatility
tape	your limitations
quaker	your convictions and spiritual beliefs
skull	you are literally being consumed by some danger
pastry	indulgence, sensual pleasure and satisfaction
keyhole	you do not have full view of some situation
urban	you are neglecting your social relationships and allowing them to deteriorate
knob	turning issues or conditions around you
go-kart	your ability to navigate through life's twists and turns
security_guard	you are seeking security in some situation or relationship
shy	you need to be more assertive, aggressive and confident in your abilities and talents
buggy	your ways of thinking may be too outdated and antiquated
hydrant	an outburst of emotions
body_builder	you are feeling empowered
bulb	your spiritual, physical, and intellectual potential
odd_number	unresolved issues and aggressive behavior in your life
museum	your non-traditional path to success will make you stand out from the rest
glacier	your cold feelings
collision	the anticipation of the crash that jolts you awake
rock_star	the beat of your life
hunting	you are trying to locate a hidden aspect of your own self
club	feelings of aggression or submission 
sorcerer	your talents, inner strengths, and creative ability
ham	you are experiencing some emotional difficulties
doll	a lack of communication between your conscious and subconscious mind
basement	some confusion in which you need to sort out
architecture	you are losing sight of your ambitions and goals
diving_board	you need to think things through carefully and thoroughly before you take the plunge
siren	some temptation in your waking life
gravity	the weight and pressure you feel on you
ice_sculpture	a situation or event has caused your life to come to a standstill
grass	there is a part of yourself you can always rely that on
dance_floor	you need to be more expressive
buddha	wisdom
pin	a sticky situation or relationship that is falling apart or that is unstable
concentration_camp	you are afraid of differences
javelin	a threat to your safety and freedom
buffalo	survival, strength, and power
tracheotomy	you are looking for an outlet to relieve some of your pent up tension and anxiety
oasis	your need for a vacation
glow	enlightenment and understanding
puke	you need to reject or discard an aspect of your life that is revolting
fishhooks	your past relationships
